"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg"
4640000,8,"Female",30,20,107,7,9,7,9,2,3,12000,0,0,1,3,1,3,1,-1.59210518196357,-1.55609903176625,-0.536950720022564,-1.58478797884084,-0.627113793110829,-0.636484259529862,0.766487582902221,0.021156797580425,0.296660782261584,0.00153762545811847,1,0,"Moderate Risk",0.115455746367239,"Non-Resilient",0,2,1,0,1,0,1,0
4641000,7,"Female",55,50,103,3,9,3,9,5,3,14000,0,0,1,7,1,7,1,-0.451414508421461,-0.22425959193713,-0.758790809860567,0.834498423342269,-0.627113793110829,-0.428087058043262,2.97117665326713,0.021156797580425,2.10601675752112,0.00153762545811847,2,0,"High Risk",0.0470277410832233,"Non-Resilient",0,3,1,0,0,1,1,0
4647000,10,"Female",45,55,95,8,6,10,10,4,3,18000,0,0,1,2,4,0,0,-0.907690777838306,-0.00228635196560979,-1.20247098953657,0.0280696226145673,-0.627113793110829,-0.011292655070062,0.215315315310994,2.4241458667651,-1.06035619918307,-0.726143622596442,1,2,"Low Risk",0.365653896961691,"Not Applicable",0,4,0,1,0,1,1,0
4648000,10,"Female",60,30,117,4,10,6,7,3,3,16000,0,0,0,6,0,4,3,-0.223276373713038,-1.11215255182321,0.017649504572443,-0.778359178113134,-0.627113793110829,-0.219689856556662,2.4200043856759,-0.779839558814468,0.748999776076467,1.45690012156724,3,1,"High Risk",0.365653896961691,"Non-Resilient",0,3,1,0,1,0,1,0
4654000,11,"Female",100,80,129,5,9,9,8,6,5,45000,0,0,1,5,1,1,2,1.60182870395434,1.10757984789199,0.683169774086452,1.64092722406997,0.839123827432658,2.80206956499904,1.86883211808467,0.021156797580425,-0.608017205368183,0.729218873512679,2,1,"High Risk",0.594187582562748,"Non-Resilient",0,5,0,1,0,1,0,1
4655000,8,"Female",85,30,95,8,9,6,9,4,3,23000,0,0,0,2,1,4,1,0.917414299829076,-1.11215255182321,-1.20247098953657,0.0280696226145673,-0.627113793110829,0.509700348646438,0.215315315310994,0.021156797580425,0.748999776076467,0.00153762545811847,1,0,"Moderate Risk",0.115455746367239,"Non-Resilient",0,5,0,1,0,1,1,0
4657000,12,"Female",100,85,114,10,9,7,8,3,3,22000,0,0,0,0,1,3,2,1.60182870395434,1.32955308786351,-0.148730562806059,-0.778359178113134,-0.627113793110829,0.405501747903138,-0.887029219871459,0.021156797580425,0.296660782261584,0.729218873512679,1,1,"Moderate Risk",0.88560105680317,"Resilient",0,5,0,1,1,0,1,0
4660000,11,"Female",55,25,110,10,9,10,8,3,2,19000,0,0,0,0,1,0,2,-0.451414508421461,-1.33412579179473,-0.370570652644062,-0.778359178113134,-1.36023260338257,0.092905945673238,-0.887029219871459,0.021156797580425,-1.06035619918307,0.729218873512679,1,2,"Low Risk",0.594187582562748,"Not Applicable",0,4,0,1,1,0,1,0
4662000,11,"Female",70,100,135,7,9,8,10,5,3,12000,0,0,0,3,1,2,0,0.232999895703807,1.99547280777807,1.01592990884346,0.834498423342269,-0.627113793110829,-0.636484259529862,0.766487582902221,0.021156797580425,-0.1556782115533,-0.726143622596442,1,1,"Moderate Risk",0.594187582562748,"Non-Resilient",0,2,1,0,0,1,1,0
4664000,12,"Female",95,80,145,6,10,10,5,6,6,27000,0,0,0,4,0,0,5,1.37369056924592,1.10757984789199,1.57053013343846,1.64092722406997,1.5722426377044,0.926494751619638,1.31765985049345,-0.779839558814468,-1.06035619918307,2.91226261767636,2,2,"High Risk",0.88560105680317,"Resilient",0,5,0,1,0,1,0,1
4665000,11,"Female",65,70,121,8,10,10,9,3,3,11000,0,0,1,2,0,0,1,0.00486176099538475,0.66363336794895,0.239489594410446,-0.778359178113134,-0.627113793110829,-0.740682860273162,0.215315315310994,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,2,"Low Risk",0.594187582562748,"Not Applicable",0,2,1,0,1,0,1,0
4668000,5,"Female",35,10,99,4,6,4,6,2,4,13000,0,0,1,6,4,6,4,-1.36396704725515,-2.00004551170929,-0.98063089969857,-1.58478797884084,0.106005017160914,-0.532285658786562,2.4200043856759,2.4241458667651,1.65367776370623,2.1845813696218,4,0,"High Risk",0.00422721268163804,"Non-Resilient",0,3,1,0,1,0,0,1
4671000,10,"Female",85,45,129,9,10,6,9,3,4,20000,0,0,1,1,0,4,1,0.917414299829076,-0.44623283190865,0.683169774086452,-0.778359178113134,0.106005017160914,0.197104546416538,-0.335856952280232,-0.779839558814468,0.748999776076467,0.00153762545811847,1,1,"Moderate Risk",0.365653896961691,"Non-Resilient",0,4,0,1,1,0,0,1
