"ID","LC_Did_English","Did_Maths","LC_Maths_Level","LC_English_Level","LC_Maths_Points","LC_English_Points","TIPI_Agreeable_YP_W4","TIPI_EmoStab_YP_W4","TIPI_Cons_YP_W4","TIPI_Extra_YP_W4","TIPI_Open_YP_W4","CognitiveNamingFruit_W4","TIPI_Agreeable_PCG_W4","TIPI_EmoStab_PCG_W4","TIPI_Cons_PCG_W4","TIPI_Extra_PCG_W4","TIPI_Open_PCG_W4","Grinds_All_Subjects_W4","Grinds_English_W4","Grinds_Maths_W4","TIPI_Extra_YP_W3","TIPI_Agreeable_YP_W3","TIPI_Cons_YP_W3","TIPI_EmoStab_YP_W3","TIPI_Open_YP_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","TIPI_Extra_SCG_W3","TIPI_Agreeable_SCG_W3","TIPI_Cons_SCG_W3","TIPI_EmoStab_SCG_W3","TIPI_Open_SCG_W3","SDQ_Emo_PCG_W3","SDQ_Conduct_PCG_W3","SDQ_Hyper_PCG_W3","SDQ_Peer_PCG_W3","SDQ_Emo_SCG_W3","SDQ_Conduct_SCG_W3","SDQ_Hyper_SCG_W3","SDQ_Peer_SCG_W3","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","Gender_YP_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","School_Type_W3","Number_Boys_School_W3","Number_Girls_School_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","SDQ_Emo_Res_SCG_W3","SDQ_Good_Conduct_SCG_W3","SDQ_Focus_Behav_SCG_W3","SDQ_Posi_Peer_SCG_W3","Fee_Paying_W3","Non_Fee_Paying_W3","Vocational_W3","Community_College_W3","Comprehensive_School_W3","School_Gender_Type","Girls_Only_School","Boys_Only_School","Mixed_School","School_Gender_Type_W3","Girls_Only_School_W3","Boys_Only_School_W3","Mixed_W3","JC_English_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","JC_Maths_Points","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Extra_PCG_W2","TIPI_Open_PCG_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2"
7059000,1,1,"Ordinary","Higher",40,40,5,5,4.5,6,6.5,16,6,6,5,4,4.5,1,NA,NA,5,3,6,4,6.5,6.5,5.5,5.5,5.5,6.5,7,6.5,7,7,6.5,0,0,3,1,0,0,0,0,28,2,9,0,5,4,5,0,2,0,5,10,9,7,9,10,9,10,10,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,12,75,40,117,10,9,8,8,5,NA,5,10,6.5,4,6,7,3,0,0,0,0
7061000,1,1,"Ordinary","Higher",30,30,4.5,5,6,6,6,12,6.5,3,7,4,5.5,1,NA,NA,5.5,4.5,6.5,4,5.5,7,6.5,4.5,7,7,7,7,6.5,7,7,0,0,2,0,0,0,0,0,18,2,7,0,4,3,4,NA,NA,NA,NA,10,9,8,10,10,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,60,135,10,10,6,10,4,4,5,8,7,1.5,7,7,6,0,0,1,0
7063000,1,1,"Ordinary","Higher",45,45,5,3,6,4.5,3.5,19,4.5,3,6.5,3.5,4,0,NA,NA,2,4.5,5.5,3.5,4.5,4.5,4.5,7,4.5,5,4.5,4.5,6.5,3,6,3,1,0,4,3,1,2,3,24,2,14,0,3,4,5,0,3,4,4,7,8,10,6,7,8,8,7,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1,11,65,55,124,6,8,7,10,3,4,1,11,1.5,2,7,1,3.5,0,1,1,0
7064000,1,1,"Ordinary","Higher",50,50,6,3,5,6.5,5,16,6,4.5,6.5,4.5,6,1,NA,NA,6.5,6,4,3,6.5,6.5,4,6,6,6.5,5.5,2,2,3,5,2,2,2,0,3,6,7,1,29,3,8,0,4,4,4,0,2,5,5,8,7,8,10,7,3,3,9,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1,11,45,25,124,10,9,8,10,4,4,4,11,4,1.5,3.5,6,3,0,1,1,0
7065000,1,1,"Ordinary","Higher",50,50,6.5,6,6,2,5,13,4.5,7,7,4,7,0,NA,NA,2.5,5.5,6,3.5,4.5,4,4.5,5,6,4.5,4,1,5.5,7,4.5,0,1,0,0,3,2,2,1,24,3,13,0,3,3,NA,0,2,0,5,10,8,10,10,7,7,8,9,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,10,100,85,95,10,9,9,8,3,3,1,11,2.5,1.5,7,4,3.5,0,0,0,0
7067000,1,1,"Foundation","Ordinary/Foundation",20,20,3,6,6,4.5,6,10,5,6.5,7,6.5,4.5,0,NA,NA,6,3.5,5,2.5,6,6,4,4.5,5.5,5,1.5,7,4.5,4.5,2,3,3,5,2,0,2,2,0,12,1,9,0,3,3,NA,0,2,0,5,7,6,5,8,10,7,8,10,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,10,50,15,121,8,7,6,9,3,3,3,7,5.5,4,5.5,4,3,0,0,0,0
7068000,1,1,"Higher","Higher",91,91,6,5,5,5.5,4.5,17,6,3.5,6,2,5.5,0,NA,NA,4.5,5.5,5,4,5,4,4.5,5,4,5,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,NA,NA,22,3,12,0,4,NA,3,0,2,0,5,7,7,8,8,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,11,85,70,140,7,9,6,9,4,NA,4,12,6,5,4,3,3,0,0,0,0
7071000,1,1,"Ordinary","Higher",50,50,5.5,6,6,5.5,5,14,3.5,3.5,5.5,4.5,5,0,NA,NA,6.5,5,6,5,6,6,6.5,4.5,6,6,NA,NA,NA,NA,NA,2,0,0,0,NA,NA,NA,NA,19,3,12,0,6,NA,5,0,2,0,4,8,9,10,10,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,10,75,40,99,9,10,9,9,6,NA,3,9,2,1.5,1.5,4,3.5,0,0,0,0
7077000,1,1,"Ordinary","Higher",15,15,6,6,6,7,7,10,6.5,5,6,5,6,0,NA,NA,7,6,3,4,7,4,6,4.5,5.5,6.5,NA,NA,NA,NA,NA,4,2,1,1,NA,NA,NA,NA,20,2,7,0,2,NA,3,0,2,0,5,6,7,9,9,NA,NA,NA,NA,0,1,0,0,0,"Girls Only",1,0,0,"Girls Only",1,0,0,10,85,45,121,6,8,7,8,3,2,5,8,5,1,1.5,1.5,3.5,0,0,0,0
7081000,1,1,"Ordinary","Ordinary/Foundation",15,15,5.5,3,6,5,3.5,15,7,4.5,4,5,6.5,1,NA,NA,5.5,5,5.5,4.5,5,5,6.5,4.5,4,4,6,6.5,6.5,4.5,5,5,1,0,1,3,2,1,1,20,3,12,0,3,6,3,NA,NA,NA,NA,5,8,10,9,7,7,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,55,107,9,8,8,10,4,6,4,NA,4,5,5,1.5,2,0,0,1,0
