"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg","Maths_points_jittered"
3478000,11,"Male",75,75,161,9,9,9,6,3,3,29000,0,0,0,1,1,1,4,0.46113803041223,0.88560660792047,2.45789049279047,-0.778359178113134,-0.627113793110829,1.13489195310624,-0.335856952280232,0.021156797580425,-0.608017205368183,2.1845813696218,1,1,"Moderate Risk",0.821400264200793,"Resilient",1,5,0,1,1,0,1,0,11.0538459053729
3479000,9,"Male",80,40,117,8,7,5,10,5,4,12000,0,0,0,2,3,5,0,0.689276165120653,-0.66820607188017,0.017649504572443,0.834498423342269,0.106005017160914,-0.636484259529862,0.215315315310994,1.62314951037021,1.20133876989135,-0.726143622596442,2,1,"High Risk",0.306737120211361,"Non-Resilient",1,2,1,0,0,1,0,1,9.01461226241663
3481000,11,"Male",80,35,121,9,10,9,10,3,3,11000,0,0,0,1,0,1,0,0.689276165120653,-0.890179311851689,0.239489594410446,-0.778359178113134,-0.627113793110829,-0.740682860273162,-0.335856952280232,-0.779839558814468,-0.608017205368183,-0.726143622596442,0,3,"Low Risk",0.642800528401585,"Not Applicable",1,2,1,0,1,0,1,0,10.9324236155488
3482000,6,"Male",100,50,128,8,10,5,7,2,3,7000,0,0,0,2,0,5,3,1.60182870395434,-0.22425959193713,0.627709751626951,-1.58478797884084,-0.627113793110829,-1.15747726324636,0.215315315310994,-0.779839558814468,1.20133876989135,1.45690012156724,2,1,"High Risk",0.0404227212681638,"Non-Resilient",1,1,1,0,1,0,1,0,6.06267379112542
3486000,7,"Male",50,45,129,10,8,8,9,3,6,19000,0,0,1,0,2,2,1,-0.679552643129884,-0.44623283190865,0.683169774086452,-0.778359178113134,1.5722426377044,0.092905945673238,-0.887029219871459,0.822153153975318,-0.1556782115533,0.00153762545811847,1,1,"Moderate Risk",0.110435931307794,"Non-Resilient",1,4,0,1,1,0,0,1,7.08439358347096
3488000,10,"Male",55,20,110,10,10,4,10,5,3,20000,0,1,1,0,0,6,0,-0.451414508421461,-1.55609903176625,-0.370570652644062,0.834498423342269,-0.627113793110829,0.197104546416538,-0.887029219871459,-0.779839558814468,1.65367776370623,-0.726143622596442,1,3,"Low Risk",0.419286657859974,"Not Applicable",1,4,0,1,0,1,1,0,9.9504960580729
3489000,8,"Male",55,10,117,10,10,10,10,3,2,9000,0,0,1,0,0,0,0,-0.451414508421461,-2.00004551170929,0.017649504572443,-0.778359178113134,-1.36023260338257,-0.949080061759762,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.204227212681638,"Not Applicable",1,2,1,0,1,0,1,0,8.05028655221686
3492000,11,"Male",90,65,131,7,9,8,9,3,2,11000,1,0,1,3,1,2,1,1.1455524345375,0.44166012797743,0.794089819005453,-0.778359178113134,-1.36023260338257,-0.740682860273162,0.766487582902221,0.021156797580425,-0.1556782115533,0.00153762545811847,1,0,"Moderate Risk",0.653896961690885,"Resilient",1,2,1,0,1,0,1,0,10.9408677106723
3494000,12,"Male",45,65,124,10,6,9,10,4,5,51000,0,1,0,0,4,1,0,-0.907690777838306,0.44166012797743,0.405869661788948,0.0280696226145673,0.839123827432658,3.42726116945884,-0.887029219871459,2.4241458667651,-0.608017205368183,-0.726143622596442,1,3,"Low Risk",0.982562747688243,"Not Applicable",1,5,0,1,0,1,0,1,12.0658486648928
3495000,10,"Male",50,60,117,8,7,1,10,3,1,8000,0,0,0,2,3,9,0,-0.679552643129884,0.21968688800591,0.017649504572443,-0.778359178113134,-2.09335141365432,-1.05327866250306,0.215315315310994,1.62314951037021,3.01069474515088,-0.726143622596442,2,1,"High Risk",0.431175693527081,"Non-Resilient",1,1,1,0,1,0,1,0,9.96040287422948
3497000,11,"Male",95,75,117,7,9,9,9,4,3,15000,0,0,1,3,1,1,1,1.37369056924592,0.88560660792047,0.017649504572443,0.0280696226145673,-0.627113793110829,-0.323888457299962,0.766487582902221,0.021156797580425,-0.608017205368183,0.00153762545811847,1,1,"Moderate Risk",0.819815059445178,"Resilient",1,3,1,0,0,1,1,0,11.0533217198215
3499000,10,"Male",70,75,124,10,9,8,10,3,4,16000,0,0,0,0,1,2,0,0.232999895703807,0.88560660792047,0.405869661788948,-0.778359178113134,0.106005017160914,-0.219689856556662,-0.887029219871459,0.021156797580425,-0.1556782115533,-0.726143622596442,0,2,"Low Risk",0.390752972258917,"Not Applicable",1,4,0,1,1,0,0,1,9.92413100106642
3500000,11,"Male",90,45,124,10,8,8,8,6,5,20000,0,0,1,0,2,2,2,1.1455524345375,-0.44623283190865,0.405869661788948,1.64092722406997,0.839123827432658,0.197104546416538,-0.887029219871459,0.822153153975318,-0.1556782115533,0.729218873512679,2,1,"High Risk",0.84227212681638,"Resilient",1,4,0,1,0,1,0,1,11.0689302756917
3501000,10,"Male",65,85,124,7,8,0,10,3,2,19000,0,0,0,3,2,10,0,0.00486176099538475,1.32955308786351,0.405869661788948,-0.778359178113134,-1.36023260338257,0.092905945673238,0.766487582902221,0.822153153975318,3.46303373896577,-0.726143622596442,3,1,"High Risk",0.551651254953765,"Non-Resilient",1,4,0,1,1,0,1,0,10.0642444666009
3502000,12,"Male",100,95,131,10,10,10,10,5,3,22000,0,0,0,0,0,0,0,1.60182870395434,1.77349956780655,0.794089819005453,0.834498423342269,-0.627113793110829,0.405501747903138,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.985733157199472,"Not Applicable",1,5,0,1,0,1,1,0,12.0707779614721
3503000,7,"Male",70,10,129,10,10,8,9,3,4,18000,0,0,0,0,0,2,1,0.232999895703807,-2.00004551170929,0.683169774086452,-0.778359178113134,0.106005017160914,-0.011292655070062,-0.887029219871459,-0.779839558814468,-0.1556782115533,0.00153762545811847,0,2,"Low Risk",0.0483487450462351,"Not Applicable",1,4,0,1,1,0,0,1,6.90291126244701
3505000,8,"Male",35,55,110,10,10,10,10,4,4,16000,0,0,1,0,0,0,0,-1.36396704725515,-0.00228635196560979,-0.370570652644062,0.0280696226145673,0.106005017160914,-0.219689856556662,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.120211360634082,"Not Applicable",1,4,0,1,0,1,0,1,7.9075852164533
3507000,12,"Male",90,65,154,10,10,10,9,3,6,17000,0,0,0,0,0,0,1,1.1455524345375,0.44166012797743,2.06967033557397,-0.778359178113134,1.5722426377044,-0.115491255813362,-0.887029219871459,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,3,"Low Risk",0.92338177014531,"Not Applicable",1,4,0,1,1,0,0,1,11.959771307651
3508000,6,"Male",30,15,95,6,10,7,10,2,3,8000,1,0,1,4,0,3,0,-1.59210518196357,-1.77807227173777,-1.20247098953657,-1.58478797884084,-0.627113793110829,-1.05327866250306,1.31765985049345,-0.779839558814468,0.296660782261584,-0.726143622596442,1,2,"Low Risk",0.0240422721268164,"Not Applicable",1,1,1,0,1,0,1,0,5.96533810077235
3510000,10,"Male",45,40,161,10,10,6,10,3,3,14000,0,0,1,0,0,4,0,-0.907690777838306,-0.66820607188017,2.45789049279047,-0.778359178113134,-0.627113793110829,-0.428087058043262,-0.887029219871459,-0.779839558814468,0.748999776076467,-0.726143622596442,1,3,"Low Risk",0.382298546895641,"Not Applicable",1,3,1,0,1,0,1,0,9.91495451256633
3511000,4,"Male",45,25,161,10,7,1,8,3,2,8000,0,0,1,0,3,9,2,-0.907690777838306,-1.33412579179473,2.45789049279047,-0.778359178113134,-1.36023260338257,-1.05327866250306,-0.887029219871459,1.62314951037021,3.01069474515088,0.729218873512679,3,1,"High Risk",0.00343461030383091,"Non-Resilient",1,1,1,0,1,0,1,0,4.04161643888801
