"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
3152000,10,95,40,117,10,10,7,10,5,3,5,0,0,0,1,37,21,3,10,7,9,7,9,3,5,3,0,0,0,1,-0.0528199401458571,-0.826889752826185
3167000,10,100,75,114,4,10,8,3,3,5,5,1,0,0,1,80,28,4,16,9,8,8,7,3,5,4,0,0,0,1,-0.0528199401458571,0.396570333877781
3183000,11,80,55,129,10,10,5,9,6,3,5,0,0,0,1,113,25,4,15,10,9,9,10,6,3,5,0,0,0,1,0.615505087650072,1.33550481902268
3185000,6,30,30,85,5,8,4,6,4,6,3,0,0,1,1,37,23,0,5,7,8,6,8,4,5,1,0,0,1,1,-2.72612005132957,-0.826889752826185
3192000,11,95,60,117,10,9,6,8,4,4,2,0,0,1,1,110,23,4,13,10,8,8,7,4,4,3,0,0,1,1,0.615505087650072,1.25014713855497
3193000,11,80,55,124,7,8,6,10,5,5,5,0,0,1,1,105,26,3,13,8,7,7,10,5,5,5,0,0,1,1,0.615505087650072,1.10788433777544
3194000,11,80,80,103,10,9,9,10,4,4,2,0,0,1,1,85,19,4,11,10,9,10,10,4,4,1,0,0,0,1,0.615505087650072,0.538833134657312
3199000,11,65,80,117,10,9,9,10,4,4,3,0,0,1,1,110,21,2,7,10,8,8,10,4,3,2,0,0,1,1,0.615505087650072,1.25014713855497
3217000,10,80,75,117,10,10,9,10,4,4,3,0,0,1,1,0,22,2,11,10,9,8,10,4,3,2,0,0,1,1,-0.0528199401458571,-1.87963447859471
3219000,11,40,70,110,10,10,9,10,6,4,3,0,0,0,1,102,18,3,7,10,9,9,10,6,4,4,0,0,0,1,0.615505087650072,1.02252665730772
3222000,10,75,65,103,9,9,8,10,3,5,5,0,0,0,1,30,22,3,6,10,9,8,10,3,5,3,0,0,0,1,-0.0528199401458571,-1.02605767391753
3238000,11,100,60,124,10,10,10,8,6,4,5,0,0,1,1,102,29,3,16,10,9,10,8,6,4,5,0,0,1,1,0.615505087650072,1.02252665730772
3244000,12,90,90,121,5,8,10,6,5,6,4,0,0,1,1,125,31,4,14,6,8,10,7,5,6,5,0,0,1,1,1.283830115446,1.67693554089356
3245000,12,65,65,124,10,10,9,10,3,4,3,0,0,1,1,113,29,3,9,10,9,10,10,3,4,1,0,0,1,1,1.283830115446,1.33550481902268
3246000,10,55,30,107,6,8,9,10,5,5,4,0,0,1,1,40,22,3,6,10,7,8,9,5,5,2,0,0,1,1,-0.0528199401458571,-0.741532072358467
3250000,9,80,55,110,10,8,6,10,4,3,4,0,0,1,1,71,10,3,11,7,8,4,10,4,3,3,0,0,1,1,-0.721144967941786,0.140497292474625
3253000,10,60,45,140,8,10,7,5,6,4,4,0,0,0,1,46,15,1,13,8,9,7,5,6,4,4,0,0,0,1,-0.0528199401458571,-0.570816711423029
3254000,9,90,50,103,10,8,5,9,5,5,4,0,0,0,1,45,25,3,12,9,9,8,9,5,5,3,0,0,0,1,-0.721144967941786,-0.599269271578936
3256000,12,85,75,135,10,10,7,10,3,4,2,0,0,1,1,102,26,4,8,10,8,10,10,3,4,2,0,0,1,1,1.283830115446,1.02252665730772
3266000,12,100,100,135,10,10,10,10,6,4,4,0,0,1,1,113,28,3,16,10,9,10,10,5,3,3,0,0,1,1,1.283830115446,1.33550481902268
3278000,10,80,95,135,8,10,10,10,5,3,4,0,0,1,1,113,31,4,11,9,9,9,10,5,3,4,0,0,1,1,-0.0528199401458571,1.33550481902268
3292000,10,30,45,114,9,7,7,10,4,2,4,0,0,1,1,45,22,2,6,9,8,10,8,4,2,3,0,0,1,1,-0.0528199401458571,-0.599269271578936
3297000,11,90,95,129,10,9,10,9,5,6,2,0,0,1,1,110,20,4,11,10,8,8,10,5,2,2,0,0,1,1,0.615505087650072,1.25014713855497
3298000,8,40,60,89,7,10,8,9,3,2,2,0,0,1,1,0,19,4,5,9,9,7,10,3,2,2,0,0,1,1,-1.38946999573772,-1.87963447859471
3299000,12,75,80,117,9,10,8,9,6,4,5,0,0,0,1,102,23,4,11,8,9,9,10,6,4,1,0,0,0,1,1.283830115446,1.02252665730772
3301000,12,100,95,129,10,9,9,10,6,6,4,0,0,1,1,125,30,4,14,10,8,9,10,6,6,5,0,0,1,1,1.283830115446,1.67693554089356
3302000,12,95,95,135,10,9,8,9,6,6,4,0,0,1,1,113,27,4,16,10,8,7,8,6,5,4,0,0,1,1,1.283830115446,1.33550481902268
3303000,11,90,90,114,9,10,9,7,6,6,3,0,0,0,1,95,34,4,16,9,8,8,8,6,6,1,0,0,0,1,0.615505087650072,0.823358736216373
3304000,11,70,75,114,9,10,10,10,4,4,1,0,0,0,1,95,14,4,9,10,9,10,9,4,4,3,0,0,0,1,0.615505087650072,0.823358736216373
3311000,11,55,80,129,8,8,10,10,5,3,3,0,0,0,1,91,30,4,9,8,8,10,9,6,3,4,0,1,0,1,0.615505087650072,0.709548495592749
3316000,9,50,45,114,9,10,8,10,4,6,4,0,0,1,1,25,16,1,5,9,8,6,10,4,5,4,0,0,1,1,-0.721144967941786,-1.16832047469706
3317000,7,85,5,114,9,7,7,8,3,3,2,0,0,0,1,20,10,1,11,7,7,9,9,3,3,2,0,0,0,1,-2.05779502353364,-1.31058327547659
3324000,11,100,90,129,4,8,8,5,2,2,1,0,0,1,1,91,16,3,12,6,7,8,7,2,2,5,0,0,1,1,0.615505087650072,0.709548495592749
3327000,11,80,75,114,7,10,7,10,6,6,3,0,0,1,1,75,28,4,8,10,9,6,10,5,6,5,0,0,1,1,0.615505087650072,0.25430753309825
3328000,10,35,35,103,8,8,4,10,2,3,1,0,0,1,1,45,13,3,6,7,9,9,10,2,3,1,0,0,1,1,-0.0528199401458571,-0.599269271578936
3329000,9,70,50,121,9,10,6,10,5,5,4,0,0,1,1,80,23,3,6,9,9,9,9,5,6,2,0,0,1,1,-0.721144967941786,0.396570333877781
3333000,8,75,60,135,8,10,7,8,2,2,2,0,0,1,1,20,17,2,13,8,9,7,7,2,2,4,0,0,1,1,-1.38946999573772,-1.31058327547659
3344000,8,55,60,103,10,10,7,10,4,6,5,0,1,0,1,35,18,2,7,10,8,8,10,6,6,4,0,1,0,1,-1.38946999573772,-0.883794873137997
3345000,11,85,85,128,10,9,10,9,4,5,5,0,0,0,1,100,30,3,14,10,8,10,10,3,5,5,0,0,0,1,0.615505087650072,0.965621536995904
3348000,11,60,70,114,9,10,8,8,3,5,3,0,0,0,1,95,10,4,8,9,9,10,6,3,5,2,0,0,0,1,0.615505087650072,0.823358736216373
3352000,11,40,70,124,10,10,8,9,6,6,5,0,0,0,1,95,13,3,5,10,8,8,8,6,6,3,0,0,0,1,0.615505087650072,0.823358736216373
3353000,8,55,45,110,8,10,10,10,2,3,1,0,0,0,1,15,20,3,10,3,8,8,9,1,1,2,0,0,0,1,-1.38946999573772,-1.45284607625612
3354000,7,25,65,107,10,10,9,9,3,3,3,0,0,1,1,37,19,4,9,10,9,10,9,3,3,4,0,0,1,1,-2.05779502353364,-0.826889752826185
3357000,7,90,45,99,10,8,4,10,5,5,4,0,0,0,1,35,30,2,12,10,8,7,9,4,5,2,0,0,0,1,-2.05779502353364,-0.883794873137997
3367000,11,60,65,110,9,10,10,8,6,6,5,0,0,1,1,113,26,4,5,10,9,10,9,6,5,5,0,0,1,1,0.615505087650072,1.33550481902268
3374000,12,85,55,114,9,9,6,8,4,5,5,0,0,1,1,110,32,4,12,9,9,8,9,5,5,5,0,0,1,1,1.283830115446,1.25014713855497
3377000,8,40,20,97,6,10,7,8,5,5,3,0,0,1,1,30,18,1,10,8,9,10,7,5,5,3,0,0,1,1,-1.38946999573772,-1.02605767391753
3382000,12,90,90,128,9,10,9,10,4,5,3,0,1,1,1,125,25,4,12,9,9,10,10,4,5,3,0,1,1,1,1.283830115446,1.67693554089356
3384000,11,100,80,121,10,10,10,10,5,6,5,0,1,0,1,113,32,4,14,10,9,10,10,5,6,5,0,1,0,1,0.615505087650072,1.33550481902268
3393000,11,55,55,95,10,9,10,10,5,3,4,0,0,0,1,110,24,3,14,10,9,10,9,5,3,4,0,0,0,1,0.615505087650072,1.25014713855497
3403000,11,90,70,107,9,7,7,10,5,6,5,0,1,0,1,105,24,4,12,10,9,7,10,5,5,5,0,1,0,1,0.615505087650072,1.10788433777544
3406000,11,90,75,129,9,10,8,10,5,4,3,0,0,0,1,105,17,4,14,10,8,9,10,4,4,4,0,1,0,1,0.615505087650072,1.10788433777544
3407000,10,60,75,124,8,10,10,10,3,3,1,0,0,0,1,80,16,2,7,10,8,9,10,3,3,3,0,0,0,1,-0.0528199401458571,0.396570333877781
3416000,11,85,95,135,10,10,10,10,5,3,2,0,0,1,1,110,25,3,10,8,9,8,8,3,3,4,0,0,1,1,0.615505087650072,1.25014713855497
3422000,9,80,55,110,10,8,9,8,3,2,2,0,0,1,1,15,30,3,10,10,7,7,10,2,2,1,0,0,1,1,-0.721144967941786,-1.45284607625612
3425000,9,35,20,95,9,10,9,10,6,3,1,0,0,1,1,20,17,0,11,10,9,10,10,6,3,1,0,0,1,1,-0.721144967941786,-1.31058327547659
3430000,12,60,85,121,7,10,10,10,4,4,5,0,0,1,1,125,27,3,9,10,9,10,10,3,3,3,0,0,1,1,1.283830115446,1.67693554089356
3442000,12,95,85,124,10,10,10,9,6,6,5,0,0,1,1,113,19,4,15,10,9,10,8,5,5,5,0,0,1,1,1.283830115446,1.33550481902268
3446000,6,65,90,117,9,8,8,10,3,2,3,0,0,1,1,95,20,3,12,8,8,7,6,3,2,1,1,0,1,1,-2.72612005132957,0.823358736216373
3448000,10,40,65,99,7,9,7,10,4,2,1,0,0,1,1,70,20,3,8,8,8,10,6,4,2,1,0,0,1,1,-0.0528199401458571,0.112044732318719
3449000,10,90,90,117,9,7,7,10,5,3,4,0,0,1,1,102,23,4,6,10,5,7,10,5,3,2,0,0,1,1,-0.0528199401458571,1.02252665730772
3456000,11,35,50,107,8,10,9,10,4,6,4,0,0,0,1,91,21,3,5,9,7,8,10,4,6,4,0,0,0,1,0.615505087650072,0.709548495592749
3458000,10,75,50,131,9,10,4,10,6,6,4,0,0,0,1,35,20,4,5,10,9,2,10,6,6,5,0,0,0,1,-0.0528199401458571,-0.883794873137997
3464000,11,40,40,110,10,10,9,10,4,3,1,0,0,1,1,95,10,2,7,9,9,10,10,4,3,2,0,0,1,1,0.615505087650072,0.823358736216373
3472000,8,85,20,121,8,10,9,5,3,3,1,0,0,0,1,46,19,1,9,9,9,8,5,3,3,4,0,0,0,1,-1.38946999573772,-0.570816711423029
3473000,11,85,50,107,8,10,5,10,4,2,4,0,0,0,1,90,18,2,8,10,9,8,9,4,2,5,0,0,0,1,0.615505087650072,0.681095935436843
